"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2010,2,59,1,0,10,1,33100,49100
2010,2,29,1,0,10,1,16000,49100
2010,1,54,2,0,7,3,1100,NA
2010,2,47,2,0,5,2,4800,4800
2010,1,59,2,0,10,2,0,4800
2010,2,10,2,0,1,0,NA,4800
2010,1,24,1,0,5,1,15000,15000
2010,1,26,2,3,6,1,18000,18000
2010,1,51,1,0,6,1,35200,74400
2010,2,47,1,0,6,1,39200,74400
2010,2,8,1,0,1,0,NA,74400
2010,1,40,1,0,10,1,115000,155000
2010,2,33,1,0,10,1,40000,155000
2010,2,24,1,0,10,1,40000,40000
2010,2,24,1,0,10,1,20000,20000
2010,2,65,1,0,6,1,36000,36000
2010,1,63,1,0,11,1,26600,50600
2010,2,63,1,0,10,1,24000,50600
2010,2,66,1,0,11,1,47940,47940
2010,1,65,1,0,10,1,30500,116100
2010,2,63,1,0,11,1,85600,116100
2010,2,74,1,0,11,3,39400,39400
2010,2,49,2,0,6,3,11000,11000
2010,1,64,1,0,10,1,103600,181600
2010,2,59,1,0,11,1,78000,181600
2010,2,22,1,0,10,1,24000,24000
2010,1,46,1,0,11,1,46290,46290
2010,1,45,2,0,6,1,41500,46290
2010,1,18,1,0,6,1,2700,2700
2010,2,65,1,0,6,3,169000,169000
2010,2,52,2,0,8,2,7800,7800
2010,1,60,1,0,11,1,367500,437500
2010,2,60,1,0,10,1,70000,437500
2010,1,74,1,0,11,1,373900,373900
2010,2,72,1,0,6,3,0,373900
2010,1,60,3,0,7,3,10600,10600
2010,2,60,1,0,10,1,50000,50000
2010,2,82,2,0,6,3,7900,7900
2010,1,19,2,0,6,2,0,7900
2010,1,18,2,0,6,3,0,7900
2010,1,16,2,0,4,3,0,7900
2010,2,85,1,0,2,3,12000,NA
2010,1,27,1,0,8,1,49000,95000
2010,2,27,1,0,11,1,46000,95000
2010,2,62,1,0,11,3,24200,24200
2010,2,47,1,0,7,1,45000,45000
2010,1,10,3,0,1,0,NA,NA
2010,1,45,1,0,7,2,130000,130000
2010,1,42,3,4,7,1,4900,4900
2010,2,94,1,0,7,3,25200,25200
2010,2,24,1,0,10,1,38000,38000
2010,2,81,1,0,7,3,25200,25200
2010,1,48,1,0,11,1,130000,132000
2010,2,40,1,0,7,3,2000,132000
2010,1,5,1,0,1,0,NA,132000
2010,2,67,2,0,11,3,21300,21300
2010,1,28,3,0,7,1,15000,30000
2010,2,24,1,0,6,1,15000,30000
2010,1,3,3,0,0,0,NA,30000
2010,2,90,1,0,7,1,28400,28400
2010,2,94,1,0,6,3,19500,NA
2010,1,76,1,0,6,3,22900,29900
2010,2,72,1,0,5,3,7000,29900
2010,1,30,1,0,7,1,50000,50000
2010,2,31,1,0,10,1,24900,50000
2010,1,19,1,0,6,3,500,NA
2010,2,67,1,0,8,1,99000,99000
2010,2,18,1,0,6,3,0,NA
2010,2,21,1,0,7,1,3500,NA
2010,2,47,1,0,11,3,0,38450
2010,1,44,1,0,7,1,38450,38450
2010,2,2,1,0,0,0,NA,38450
2010,1,52,1,0,10,1,120000,120000
2010,2,74,1,0,7,3,14400,NA
2010,2,63,1,0,11,3,62300,132380
2010,1,73,1,0,11,3,70080,132380
