"YEAR","SEX","AGE","RACE","HISPAN","EDUC","EMPSTAT","INCTOT","FTOTINC"
2019,1,20,1,0,7,2,4600,NA
2019,1,58,1,0,6,1,2500,NA
2019,1,20,1,0,7,1,8000,NA
2019,1,15,2,0,2,0,9300,NA
2019,1,6,1,0,1,0,NA,NA
2019,1,18,1,0,7,1,8200,NA
2019,1,31,2,0,6,3,36000,NA
2019,2,21,1,0,6,1,8500,NA
2019,1,65,1,0,7,3,14400,NA
2019,1,29,1,0,5,1,13900,NA
2019,2,18,2,0,6,1,450,NA
2019,1,39,2,0,8,3,10100,NA
2019,2,19,1,0,6,3,0,NA
2019,2,69,1,0,10,3,26000,NA
2019,1,19,1,0,7,2,5200,NA
2019,2,20,1,2,6,3,0,NA
2019,1,18,1,0,6,2,4100,NA
2019,1,52,2,0,6,3,34300,NA
2019,1,3,2,0,1,0,NA,NA
2019,1,29,2,0,6,3,1200,NA
2019,2,19,1,0,6,3,0,NA
2019,2,42,1,0,6,3,8800,NA
2019,2,68,2,0,3,3,26000,NA
2019,1,78,1,0,6,3,38000,NA
2019,2,71,2,0,7,3,12700,NA
2019,1,19,1,0,6,3,2400,NA
2019,2,19,3,0,6,3,1000,NA
2019,2,35,1,0,6,3,500,NA
2019,2,89,1,0,6,3,12700,NA
2019,1,19,3,0,6,3,0,NA
2019,1,18,1,1,6,1,3000,NA
2019,2,20,2,0,6,1,3000,NA
2019,1,54,1,0,7,3,5160,NA
2019,1,18,3,0,6,1,3900,NA
2019,1,18,1,0,6,1,2100,NA
2019,2,18,2,0,7,1,1000,NA
2019,1,18,1,0,7,3,6700,NA
2019,2,53,1,0,6,3,16400,NA
2019,1,61,2,0,6,3,0,NA
2019,1,40,3,1,7,2,2400,NA
2019,1,65,1,0,7,3,14400,NA
2019,2,62,2,0,0,3,720,NA
2019,1,12,3,0,2,0,NA,NA
2019,2,19,1,0,6,3,3500,NA
2019,1,5,2,0,1,0,NA,NA
2019,1,21,1,0,7,3,15000,NA
2019,1,58,1,0,6,1,2500,NA
2019,2,18,1,0,6,1,6000,NA
2019,1,19,3,3,6,1,5800,NA
2019,1,13,1,0,2,0,NA,NA
2019,2,73,1,0,8,3,30030,NA
2019,2,52,2,0,4,3,0,NA
2019,2,42,1,0,6,3,8800,NA
2019,2,28,1,0,6,3,5160,NA
2019,2,30,1,0,10,3,2400,NA
2019,1,18,1,0,6,3,1000,NA
2019,1,3,3,1,0,0,NA,NA
2019,2,17,3,1,6,3,1200,NA
2019,2,35,2,0,6,1,2500,NA
2019,1,28,2,0,6,3,1100,NA
2019,2,33,2,0,6,2,16700,NA
2019,1,19,1,0,7,1,6000,NA
2019,1,18,1,0,7,3,6700,NA
2019,2,19,1,4,6,1,4030,NA
2019,2,18,2,0,7,1,1000,NA
2019,1,28,1,0,7,3,1970,NA
2019,2,18,1,0,6,1,3000,NA
2019,2,76,1,0,8,3,19700,NA
2019,1,35,2,0,6,3,1200,NA
2019,2,19,1,0,7,1,8200,NA
2019,1,11,3,0,2,0,NA,NA
2019,1,21,1,0,6,3,15000,NA
2019,2,35,1,0,6,3,500,NA
2019,1,39,2,0,8,3,10100,NA
2019,1,62,2,0,7,3,8400,NA
2019,2,24,2,0,7,1,7600,NA
2019,1,25,1,0,7,3,920,NA
2019,1,19,3,0,6,3,0,NA
2019,2,18,1,0,6,3,4500,NA
2019,1,27,1,0,6,3,5160,NA
2019,1,40,3,1,7,2,2400,NA
2019,1,19,1,0,6,3,3900,NA
2019,1,34,3,0,6,3,2400,NA
2019,2,33,1,0,6,3,1600,NA
2019,1,25,2,0,6,3,2900,NA
2019,1,61,1,0,7,3,14400,NA
2019,2,52,1,0,10,3,30200,NA
2019,2,95,1,0,11,3,9000,NA
2019,1,40,3,4,6,2,9000,NA
2019,2,67,1,0,6,3,26000,NA
2019,1,25,1,0,7,3,8200,NA
